Confirmed,Death,Recovered,Full_Vac
2000807,115925,533504,0
2023973,116751,540292,0
2048801,117578,547386,0
2074013,118317,556606,0
2092954,118661,561816,0
2112781,119057,576334,0
2136448,119870,583503,0
2163520,120609,592191,0
2192057,121300,599115,0
2223601,121929,606715,0
2255881,122487,617460,0
2281031,122807,622133,0
2313175,123213,640198,0
2350247,123961,647548,0
2386125,124698,656161,0
2426451,125236,663562,0
2472450,125864,670809,0
2513780,126371,679308,0
2554514,126686,685164,0
2595813,127072,705203,0
2642233,127627,720631,0
